sample_id,label,class,claude_score,model,condition,score,model_used,error
36,nigel_link_bait,clear_ai,85,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
36,nigel_link_bait,clear_ai,85,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
37,b2b_cx_template,clear_ai,82,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
37,b2b_cx_template,clear_ai,82,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
38,bolland_self_serve,clear_ai,78,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
38,bolland_self_serve,clear_ai,78,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
39,steven_jargon_soup,clear_ai,78,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
39,steven_jargon_soup,clear_ai,78,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
40,sanket_book_promo,clear_ai,70,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
40,sanket_book_promo,clear_ai,70,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
41,gillian_podcast_announce,clear_ai,70,anthropic/claude-haiku-4.5,cortex,62,anthropic/claude-haiku-4.5,
41,gillian_podcast_announce,clear_ai,70,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
42,pille_bold_cyrillic,clear_ai,75,anthropic/claude-haiku-4.5,cortex,62,anthropic/claude-haiku-4.5,
42,pille_bold_cyrillic,clear_ai,75,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
43,charlotte_encouragement,clear_ai,65,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
43,charlotte_encouragement,clear_ai,65,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
44,sofia_services_pitch,clear_ai,65,anthropic/claude-haiku-4.5,cortex,42,anthropic/claude-haiku-4.5,
44,sofia_services_pitch,clear_ai,65,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
45,chinonso_services,clear_ai,75,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
45,chinonso_services,clear_ai,75,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
46,renai_unlocking_potential,clear_ai,65,anthropic/claude-haiku-4.5,cortex,68,anthropic/claude-haiku-4.5,
46,renai_unlocking_potential,clear_ai,65,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
47,robert_onsite_dispatch,clear_ai,80,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
47,robert_onsite_dispatch,clear_ai,80,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
48,unlock_capital_corporate,clear_ai,80,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
48,unlock_capital_corporate,clear_ai,80,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
49,elizabeth_newsletter_announce,clear_ai,70,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
49,elizabeth_newsletter_announce,clear_ai,70,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
50,weam_bot_finished_course,clear_ai,95,anthropic/claude-haiku-4.5,cortex,42,anthropic/claude-haiku-4.5,
50,weam_bot_finished_course,clear_ai,95,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
51,joann_autism_reflection,human,25,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
51,joann_autism_reflection,human,25,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
52,amber_nice_things_sparkle,human,18,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
52,amber_nice_things_sparkle,human,18,anthropic/claude-haiku-4.5,native,28,anthropic/claude-haiku-4.5,
53,claire_rule_breaker,human,25,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
53,claire_rule_breaker,human,25,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
54,samantha_out_of_office,human,22,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
54,samantha_out_of_office,human,22,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
55,maurice_break_note,human,28,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
55,maurice_break_note,human,28,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
56,hasin_deaths_reflection,human,12,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
56,hasin_deaths_reflection,human,12,anthropic/claude-haiku-4.5,native,28,anthropic/claude-haiku-4.5,
57,mark_terse_complaint,human,10,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
57,mark_terse_complaint,human,10,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
58,elizabeth_dispatch_microphone,human,22,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
58,elizabeth_dispatch_microphone,human,22,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
59,colin_bd_honesty,human,22,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
59,colin_bd_honesty,human,22,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
60,ivo_bus_loyalty,human,28,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
60,ivo_bus_loyalty,human,28,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
61,carol_spring_walk,human,12,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
61,carol_spring_walk,human,12,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
62,tom_morning_brew,human,15,anthropic/claude-haiku-4.5,cortex,22,anthropic/claude-haiku-4.5,
62,tom_morning_brew,human,15,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
63,francisco_lost_business_5cents,human,18,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
63,francisco_lost_business_5cents,human,18,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
64,nick_substack_publish,human,18,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
64,nick_substack_publish,human,18,anthropic/claude-haiku-4.5,native,15,anthropic/claude-haiku-4.5,
65,author_efl_earn_words,human,20,anthropic/claude-haiku-4.5,cortex,22,anthropic/claude-haiku-4.5,
65,author_efl_earn_words,human,20,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
66,sandrine_swedish_cv,human,25,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
66,sandrine_swedish_cv,human,25,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
67,mehdy_lng_news,human,32,anthropic/claude-haiku-4.5,cortex,68,anthropic/claude-haiku-4.5,
67,mehdy_lng_news,human,32,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
68,natalia_alien_confession,human,22,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
68,natalia_alien_confession,human,22,anthropic/claude-haiku-4.5,native,28,anthropic/claude-haiku-4.5,
69,robert_lending_lever,human,35,anthropic/claude-haiku-4.5,cortex,68,anthropic/claude-haiku-4.5,
69,robert_lending_lever,human,35,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
70,sherelle_youth_report,human,30,anthropic/claude-haiku-4.5,cortex,42,anthropic/claude-haiku-4.5,
70,sherelle_youth_report,human,30,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
71,rosa_week_reflection,ambig,50,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
71,rosa_week_reflection,ambig,50,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
72,chris_friday_reflection,ambig,45,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
72,chris_friday_reflection,ambig,45,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
73,margaret_busy_productive,ambig,40,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
73,margaret_busy_productive,ambig,40,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
74,alex_reed_saturday_claude,ambig,25,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
74,alex_reed_saturday_claude,ambig,25,anthropic/claude-haiku-4.5,native,25,anthropic/claude-haiku-4.5,
75,suzanne_systemic_investing,ambig,55,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
75,suzanne_systemic_investing,ambig,55,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
76,mandeep_gmat_anecdote,ambig,40,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
76,mandeep_gmat_anecdote,ambig,40,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
77,alex_gluz_pipeline_content,ambig,50,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
77,alex_gluz_pipeline_content,ambig,50,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
78,arlen_rethink_saas,ambig,50,anthropic/claude-haiku-4.5,cortex,13,anthropic/claude-haiku-4.5,
78,arlen_rethink_saas,ambig,50,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
79,mark_pammesberger_terse,ambig,30,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
79,mark_pammesberger_terse,ambig,30,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
80,izzy_freight_pitch,ambig,45,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
80,izzy_freight_pitch,ambig,45,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
81,izzy_unlock_potential_pitch,clear_ai,70,anthropic/claude-haiku-4.5,cortex,72,anthropic/claude-haiku-4.5,
81,izzy_unlock_potential_pitch,clear_ai,70,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
82,nick_destin_continued,human,18,anthropic/claude-haiku-4.5,cortex,12,anthropic/claude-haiku-4.5,
82,nick_destin_continued,human,18,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
83,jason_financial_made_it,ambig,45,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
83,jason_financial_made_it,ambig,45,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
84,ron_dad_letter_short,ambig,38,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
84,ron_dad_letter_short,ambig,38,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
85,shubhi_agile_template,clear_ai,60,anthropic/claude-haiku-4.5,cortex,58,anthropic/claude-haiku-4.5,
85,shubhi_agile_template,clear_ai,60,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
86,nilema_toxic_leaders,clear_ai,60,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
86,nilema_toxic_leaders,clear_ai,60,anthropic/claude-haiku-4.5,native,28,anthropic/claude-haiku-4.5,
87,jon_lance_replacement,human,22,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
87,jon_lance_replacement,human,22,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
88,kane_wellness_residences,human,22,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
88,kane_wellness_residences,human,22,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
89,shae_followers_milestone,human,20,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
89,shae_followers_milestone,human,20,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
90,mia_emerging_leaders,ambig,35,anthropic/claude-haiku-4.5,cortex,68,anthropic/claude-haiku-4.5,
90,mia_emerging_leaders,ambig,35,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
91,meriel_hr_transformation,ambig,50,anthropic/claude-haiku-4.5,cortex,78,anthropic/claude-haiku-4.5,
91,meriel_hr_transformation,ambig,50,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
92,kate_rental_car_dialogue,human,12,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
92,kate_rental_car_dialogue,human,12,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
93,james_postits_pallet,human,8,anthropic/claude-haiku-4.5,cortex,12,anthropic/claude-haiku-4.5,
93,james_postits_pallet,human,8,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
94,mike_tape_backup,human,18,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
94,mike_tape_backup,human,18,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
95,narayan_gps_panic,human,18,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
95,narayan_gps_panic,human,18,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
96,reuven_melbourne_call,human,18,anthropic/claude-haiku-4.5,cortex,18,anthropic/claude-haiku-4.5,
96,reuven_melbourne_call,human,18,anthropic/claude-haiku-4.5,native,42,anthropic/claude-haiku-4.5,
97,samuel_em_dash_fragment,clear_ai,75,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
97,samuel_em_dash_fragment,clear_ai,75,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
98,amira_just_start_template,clear_ai,78,anthropic/claude-haiku-4.5,cortex,42,anthropic/claude-haiku-4.5,
98,amira_just_start_template,clear_ai,78,anthropic/claude-haiku-4.5,native,78,anthropic/claude-haiku-4.5,
99,umaima_uiux_template,ambig,55,anthropic/claude-haiku-4.5,cortex,22,anthropic/claude-haiku-4.5,
99,umaima_uiux_template,ambig,55,anthropic/claude-haiku-4.5,native,28,anthropic/claude-haiku-4.5,
100,nancy_authenticity_template,clear_ai,72,anthropic/claude-haiku-4.5,cortex,28,anthropic/claude-haiku-4.5,
100,nancy_authenticity_template,clear_ai,72,anthropic/claude-haiku-4.5,native,72,anthropic/claude-haiku-4.5,
1,swati_thought_leadership,clear_ai,85,deepseek/deepseek-v3.2,cortex,78,deepseek/deepseek-v3.2,
1,swati_thought_leadership,clear_ai,85,deepseek/deepseek-v3.2,native,45,deepseek/deepseek-v3.2,
2,blackbridge_launch,clear_ai,88,deepseek/deepseek-v3.2,cortex,78,deepseek/deepseek-v3.2,
2,blackbridge_launch,clear_ai,88,deepseek/deepseek-v3.2,native,30,deepseek/deepseek-v3.2,
3,lidere360_phases,clear_ai,85,deepseek/deepseek-v3.2,cortex,80,gemini-2.5-flash-lite,
3,lidere360_phases,clear_ai,85,deepseek/deepseek-v3.2,native,40,deepseek/deepseek-v3.2,
4,rewiring_identity,clear_ai,75,deepseek/deepseek-v3.2,cortex,45,deepseek/deepseek-v3.2,
4,rewiring_identity,clear_ai,75,deepseek/deepseek-v3.2,native,65,deepseek/deepseek-v3.2,
5,dwayne_ceo_pitch,clear_ai,70,deepseek/deepseek-v3.2,cortex,15,deepseek/deepseek-v3.2,
5,dwayne_ceo_pitch,clear_ai,70,deepseek/deepseek-v3.2,native,75,deepseek/deepseek-v3.2,
6,gary_subscribe_pitch,clear_ai,65,deepseek/deepseek-v3.2,cortex,78,deepseek/deepseek-v3.2,
6,gary_subscribe_pitch,clear_ai,65,deepseek/deepseek-v3.2,native,65,deepseek/deepseek-v3.2,
7,samuel_em_dash_cadence,clear_ai,80,deepseek/deepseek-v3.2,cortex,45,gemini-2.5-flash-lite,
7,samuel_em_dash_cadence,clear_ai,80,deepseek/deepseek-v3.2,native,40,deepseek/deepseek-v3.2,
8,amira_motivational,clear_ai,75,deepseek/deepseek-v3.2,cortex,40,deepseek/deepseek-v3.2,
8,amira_motivational,clear_ai,75,deepseek/deepseek-v3.2,native,30,deepseek/deepseek-v3.2,
9,umaima_motivational_assignment,clear_ai,65,deepseek/deepseek-v3.2,cortex,32,deepseek/deepseek-v3.2,
9,umaima_motivational_assignment,clear_ai,65,deepseek/deepseek-v3.2,native,70,deepseek/deepseek-v3.2,
10,nancy_authenticity,clear_ai,70,deepseek/deepseek-v3.2,cortex,68,deepseek/deepseek-v3.2,
10,nancy_authenticity,clear_ai,70,deepseek/deepseek-v3.2,native,40,deepseek/deepseek-v3.2,
11,antonio_hyderabad,human,25,deepseek/deepseek-v3.2,cortex,28,deepseek/deepseek-v3.2,
11,antonio_hyderabad,human,25,deepseek/deepseek-v3.2,native,45,deepseek/deepseek-v3.2,
12,emily_resonance,human,30,deepseek/deepseek-v3.2,cortex,78,deepseek/deepseek-v3.2,
12,emily_resonance,human,30,deepseek/deepseek-v3.2,native,40,deepseek/deepseek-v3.2,
13,priya_cenote,human,12,deepseek/deepseek-v3.2,cortex,12,deepseek/deepseek-v3.2,
13,priya_cenote,human,12,deepseek/deepseek-v3.2,native,45,deepseek/deepseek-v3.2,
14,james_hawkins_postits,human,8,deepseek/deepseek-v3.2,cortex,18,deepseek/deepseek-v3.2,
14,james_hawkins_postits,human,8,deepseek/deepseek-v3.2,native,85,deepseek/deepseek-v3.2,
15,narayan_gps_analogy,human,18,deepseek/deepseek-v3.2,cortex,,,"http_502: {""error"":""detection_failed"",""message"":""gemini(gemini-2.5-flash-lite): You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://"
15,narayan_gps_analogy,human,18,deepseek/deepseek-v3.2,native,40,deepseek/deepseek-v3.2,
16,lance_replacement_story,human,22,deepseek/deepseek-v3.2,cortex,15,deepseek/deepseek-v3.2,
16,lance_replacement_story,human,22,deepseek/deepseek-v3.2,native,40,deepseek/deepseek-v3.2,
17,reuven_melbourne,human,18,deepseek/deepseek-v3.2,cortex,78,deepseek/deepseek-v3.2,
17,reuven_melbourne,human,18,deepseek/deepseek-v3.2,native,25,deepseek/deepseek-v3.2,
18,kane_wellness_residences,human,22,deepseek/deepseek-v3.2,cortex,15,deepseek/deepseek-v3.2,
18,kane_wellness_residences,human,22,deepseek/deepseek-v3.2,native,30,deepseek/deepseek-v3.2,
19,alex_saturday_claude,human,15,deepseek/deepseek-v3.2,cortex,12,deepseek/deepseek-v3.2,
19,alex_saturday_claude,human,15,deepseek/deepseek-v3.2,native,40,deepseek/deepseek-v3.2,
20,shae_followers,human,20,deepseek/deepseek-v3.2,cortex,18,deepseek/deepseek-v3.2,
20,shae_followers,human,20,deepseek/deepseek-v3.2,native,80,deepseek/deepseek-v3.2,
21,shubhi_agile,ambig,50,deepseek/deepseek-v3.2,cortex,40,deepseek/deepseek-v3.2,
21,shubhi_agile,ambig,50,deepseek/deepseek-v3.2,native,70,deepseek/deepseek-v3.2,
22,nilema_toxic_leaders,ambig,55,deepseek/deepseek-v3.2,cortex,22,deepseek/deepseek-v3.2,
22,nilema_toxic_leaders,ambig,55,deepseek/deepseek-v3.2,native,45,deepseek/deepseek-v3.2,
23,mia_emerging_leaders,ambig,35,deepseek/deepseek-v3.2,cortex,42,deepseek/deepseek-v3.2,
23,mia_emerging_leaders,ambig,35,deepseek/deepseek-v3.2,native,30,deepseek/deepseek-v3.2,
24,meriel_hr_transformation,ambig,50,deepseek/deepseek-v3.2,cortex,75,deepseek/deepseek-v3.2,
24,meriel_hr_transformation,ambig,50,deepseek/deepseek-v3.2,native,25,deepseek/deepseek-v3.2,
